season,round,url,raceName,Circuit,date,time,FirstPractice,SecondPractice,ThirdPractice,Qualifying,Sprint
2022,11,https://en.wikipedia.org/wiki/2022_Austrian_Grand_Prix,Austrian Grand Prix,"{'circuitId': 'red_bull_ring', 'url': 'https://en.wikipedia.org/wiki/Red_Bull_Ring', 'circuitName': 'Red Bull Ring', 'Location': {'lat': '47.2197', 'long': '14.7647', 'locality': 'Spielberg', 'country': 'Austria'}}",2022-07-10,13:00:00Z,"{'date': '2022-07-08', 'time': '11:30:00Z'}","{'date': '2022-07-09', 'time': '10:30:00Z'}",,"{'date': '2022-07-08', 'time': '15:00:00Z'}","{'date': '2022-07-09', 'time': '14:30:00Z'}"
2022,12,https://en.wikipedia.org/wiki/2022_French_Grand_Prix,French Grand Prix,"{'circuitId': 'ricard', 'url': 'https://en.wikipedia.org/wiki/Circuit_Paul_Ricard', 'circuitName': 'Circuit Paul Ricard', 'Location': {'lat': '43.250599999999984', 'long': '5.791669999999999', 'locality': 'Le Castellet', 'country': 'France'}}",2022-07-24,13:00:00Z,"{'date': '2022-07-22', 'time': '12:00:00Z'}","{'date': '2022-07-22', 'time': '15:00:00Z'}","{'date': '2022-07-23', 'time': '11:00:00Z'}","{'date': '2022-07-23', 'time': '14:00:00Z'}",
2022,13,https://en.wikipedia.org/wiki/2022_Hungarian_Grand_Prix,Hungarian Grand Prix,"{'circuitId': 'hungaroring', 'url': 'https://en.wikipedia.org/wiki/Hungaroring', 'circuitName': 'Hungaroring', 'Location': {'lat': '47.5789', 'long': '19.2486', 'locality': 'Budapest', 'country': 'Hungary'}}",2022-07-31,13:00:00Z,"{'date': '2022-07-29', 'time': '12:00:00Z'}","{'date': '2022-07-29', 'time': '15:00:00Z'}","{'date': '2022-07-30', 'time': '11:00:00Z'}","{'date': '2022-07-30', 'time': '14:00:00Z'}",
2022,14,https://en.wikipedia.org/wiki/2022_Belgian_Grand_Prix,Belgian Grand Prix,"{'circuitId': 'spa', 'url': 'https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps', 'circuitName': 'Circuit de Spa-Francorchamps', 'Location': {'lat': '50.4372', 'long': '5.97139', 'locality': 'Spa', 'country': 'Belgium'}}",2022-08-28,13:00:00Z,"{'date': '2022-08-26', 'time': '12:00:00Z'}","{'date': '2022-08-26', 'time': '15:00:00Z'}","{'date': '2022-08-27', 'time': '11:00:00Z'}","{'date': '2022-08-27', 'time': '14:00:00Z'}",
2022,15,https://en.wikipedia.org/wiki/2022_Dutch_Grand_Prix,Dutch Grand Prix,"{'circuitId': 'zandvoort', 'url': 'https://en.wikipedia.org/wiki/Circuit_Zandvoort', 'circuitName': 'Circuit Park Zandvoort', 'Location': {'lat': '52.3888', 'long': '4.54092', 'locality': 'Zandvoort', 'country': 'Netherlands'}}",2022-09-04,13:00:00Z,"{'date': '2022-09-02', 'time': '10:30:00Z'}","{'date': '2022-09-02', 'time': '14:00:00Z'}","{'date': '2022-09-03', 'time': '10:00:00Z'}","{'date': '2022-09-03', 'time': '13:00:00Z'}",
2022,16,https://en.wikipedia.org/wiki/2022_Italian_Grand_Prix,Italian Grand Prix,"{'circuitId': 'monza', 'url': 'https://en.wikipedia.org/wiki/Monza_Circuit', 'circuitName': 'Autodromo Nazionale di Monza', 'Location': {'lat': '45.615599999999986', 'long': '9.28111', 'locality': 'Monza', 'country': 'Italy'}}",2022-09-11,13:00:00Z,"{'date': '2022-09-09', 'time': '12:00:00Z'}","{'date': '2022-09-09', 'time': '15:00:00Z'}","{'date': '2022-09-10', 'time': '11:00:00Z'}","{'date': '2022-09-10', 'time': '14:00:00Z'}",
2022,17,https://en.wikipedia.org/wiki/2022_Singapore_Grand_Prix,Singapore Grand Prix,"{'circuitId': 'marina_bay', 'url': 'https://en.wikipedia.org/wiki/Marina_Bay_Street_Circuit', 'circuitName': 'Marina Bay Street Circuit', 'Location': {'lat': '1.2914', 'long': '103.864', 'locality': 'Marina Bay', 'country': 'Singapore'}}",2022-10-02,12:00:00Z,"{'date': '2022-09-30', 'time': '10:00:00Z'}","{'date': '2022-09-30', 'time': '13:00:00Z'}","{'date': '2022-10-01', 'time': '10:00:00Z'}","{'date': '2022-10-01', 'time': '13:00:00Z'}",
2022,18,https://en.wikipedia.org/wiki/2022_Japanese_Grand_Prix,Japanese Grand Prix,"{'circuitId': 'suzuka', 'url': 'https://en.wikipedia.org/wiki/Suzuka_International_Racing_Course', 'circuitName': 'Suzuka Circuit', 'Location': {'lat': '34.843100000000014', 'long': '136.541', 'locality': 'Suzuka', 'country': 'Japan'}}",2022-10-09,05:00:00Z,"{'date': '2022-10-07', 'time': '03:00:00Z'}","{'date': '2022-10-07', 'time': '06:00:00Z'}","{'date': '2022-10-08', 'time': '03:00:00Z'}","{'date': '2022-10-08', 'time': '06:00:00Z'}",
2022,19,https://en.wikipedia.org/wiki/2022_United_States_Grand_Prix,United States Grand Prix,"{'circuitId': 'americas', 'url': 'https://en.wikipedia.org/wiki/Circuit_of_the_Americas', 'circuitName': 'Circuit of the Americas', 'Location': {'lat': '30.1328', 'long': '-97.6411', 'locality': 'Austin', 'country': 'USA'}}",2022-10-23,19:00:00Z,"{'date': '2022-10-21', 'time': '19:00:00Z'}","{'date': '2022-10-21', 'time': '22:00:00Z'}","{'date': '2022-10-22', 'time': '19:00:00Z'}","{'date': '2022-10-22', 'time': '22:00:00Z'}",
2022,20,https://en.wikipedia.org/wiki/2022_Mexico_City_Grand_Prix,Mexico City Grand Prix,"{'circuitId': 'rodriguez', 'url': 'https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez', 'circuitName': 'Autódromo Hermanos Rodríguez', 'Location': {'lat': '19.4042', 'long': '-99.0907', 'locality': 'Mexico City', 'country': 'Mexico'}}",2022-10-30,20:00:00Z,"{'date': '2022-10-28', 'time': '18:00:00Z'}","{'date': '2022-10-28', 'time': '21:00:00Z'}","{'date': '2022-10-29', 'time': '17:00:00Z'}","{'date': '2022-10-29', 'time': '20:00:00Z'}",
2022,21,https://en.wikipedia.org/wiki/2022_São_Paulo_Grand_Prix,São Paulo Grand Prix,"{'circuitId': 'interlagos', 'url': 'https://en.wikipedia.org/wiki/Interlagos_Circuit', 'circuitName': 'Autódromo José Carlos Pace', 'Location': {'lat': '-23.7036', 'long': '-46.69969999999999', 'locality': 'São Paulo', 'country': 'Brazil'}}",2022-11-13,18:00:00Z,"{'date': '2022-11-11', 'time': '15:30:00Z'}","{'date': '2022-11-12', 'time': '15:30:00Z'}",,"{'date': '2022-11-11', 'time': '19:00:00Z'}","{'date': '2022-11-12', 'time': '19:30:00Z'}"
2022,22,https://en.wikipedia.org/wiki/2022_Abu_Dhabi_Grand_Prix,Abu Dhabi Grand Prix,"{'circuitId': 'yas_marina', 'url': 'https://en.wikipedia.org/wiki/Yas_Marina_Circuit', 'circuitName': 'Yas Marina Circuit', 'Location': {'lat': '24.4672', 'long': '54.6031', 'locality': 'Abu Dhabi', 'country': 'UAE'}}",2022-11-20,13:00:00Z,"{'date': '2022-11-18', 'time': '10:00:00Z'}","{'date': '2022-11-18', 'time': '13:00:00Z'}","{'date': '2022-11-19', 'time': '11:00:00Z'}","{'date': '2022-11-19', 'time': '14:00:00Z'}",
