season,round,url,raceName,Circuit,date
1951,4,https://en.wikipedia.org/wiki/1951_French_Grand_Prix,French Grand Prix,"{'circuitId': 'reims', 'url': 'https://en.wikipedia.org/wiki/Reims-Gueux', 'circuitName': 'Reims-Gueux', 'Location': {'lat': '49.2542', 'long': '3.93083', 'locality': 'Reims', 'country': 'France'}}",1951-07-01
1951,5,https://en.wikipedia.org/wiki/1951_British_Grand_Prix,British Grand Prix,"{'circuitId': 'silverstone', 'url': 'https://en.wikipedia.org/wiki/Silverstone_Circuit', 'circuitName': 'Silverstone Circuit', 'Location': {'lat': '52.0786', 'long': '-1.01694', 'locality': 'Silverstone', 'country': 'UK'}}",1951-07-14
1951,6,https://en.wikipedia.org/wiki/1951_German_Grand_Prix,German Grand Prix,"{'circuitId': 'nurburgring', 'url': 'https://en.wikipedia.org/wiki/N%C3%BCrburgring', 'circuitName': 'Nürburgring', 'Location': {'lat': '50.3356', 'long': '6.9475', 'locality': 'Nürburg', 'country': 'Germany'}}",1951-07-29
1951,7,https://en.wikipedia.org/wiki/1951_Italian_Grand_Prix,Italian Grand Prix,"{'circuitId': 'monza', 'url': 'https://en.wikipedia.org/wiki/Monza_Circuit', 'circuitName': 'Autodromo Nazionale di Monza', 'Location': {'lat': '45.615599999999986', 'long': '9.28111', 'locality': 'Monza', 'country': 'Italy'}}",1951-09-16
1951,8,https://en.wikipedia.org/wiki/1951_Spanish_Grand_Prix,Spanish Grand Prix,"{'circuitId': 'pedralbes', 'url': 'https://en.wikipedia.org/wiki/Pedralbes_Circuit', 'circuitName': 'Circuit de Pedralbes', 'Location': {'lat': '41.3903', 'long': '2.11667', 'locality': 'Barcelona', 'country': 'Spain'}}",1951-10-28
1952,1,https://en.wikipedia.org/wiki/1952_Swiss_Grand_Prix,Swiss Grand Prix,"{'circuitId': 'bremgarten', 'url': 'https://en.wikipedia.org/wiki/Circuit_Bremgarten', 'circuitName': 'Circuit Bremgarten', 'Location': {'lat': '46.9589', 'long': '7.40194', 'locality': 'Bern', 'country': 'Switzerland'}}",1952-05-18
1952,2,https://en.wikipedia.org/wiki/1952_Indianapolis_500,Indianapolis 500,"{'circuitId': 'indianapolis', 'url': 'https://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway', 'circuitName': 'Indianapolis Motor Speedway', 'Location': {'lat': '39.795', 'long': '-86.2347', 'locality': 'Indianapolis', 'country': 'USA'}}",1952-05-30
1952,3,https://en.wikipedia.org/wiki/1952_Belgian_Grand_Prix,Belgian Grand Prix,"{'circuitId': 'spa', 'url': 'https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps', 'circuitName': 'Circuit de Spa-Francorchamps', 'Location': {'lat': '50.4372', 'long': '5.97139', 'locality': 'Spa', 'country': 'Belgium'}}",1952-06-22
1952,4,https://en.wikipedia.org/wiki/1952_French_Grand_Prix,French Grand Prix,"{'circuitId': 'essarts', 'url': 'https://en.wikipedia.org/wiki/Rouen-Les-Essarts', 'circuitName': 'Rouen-Les-Essarts', 'Location': {'lat': '49.3306', 'long': '1.00458', 'locality': 'Rouen', 'country': 'France'}}",1952-07-06
1952,5,https://en.wikipedia.org/wiki/1952_British_Grand_Prix,British Grand Prix,"{'circuitId': 'silverstone', 'url': 'https://en.wikipedia.org/wiki/Silverstone_Circuit', 'circuitName': 'Silverstone Circuit', 'Location': {'lat': '52.0786', 'long': '-1.01694', 'locality': 'Silverstone', 'country': 'UK'}}",1952-07-19
1952,6,https://en.wikipedia.org/wiki/1952_German_Grand_Prix,German Grand Prix,"{'circuitId': 'nurburgring', 'url': 'https://en.wikipedia.org/wiki/N%C3%BCrburgring', 'circuitName': 'Nürburgring', 'Location': {'lat': '50.3356', 'long': '6.9475', 'locality': 'Nürburg', 'country': 'Germany'}}",1952-08-03
1952,7,https://en.wikipedia.org/wiki/1952_Dutch_Grand_Prix,Dutch Grand Prix,"{'circuitId': 'zandvoort', 'url': 'https://en.wikipedia.org/wiki/Circuit_Zandvoort', 'circuitName': 'Circuit Park Zandvoort', 'Location': {'lat': '52.3888', 'long': '4.54092', 'locality': 'Zandvoort', 'country': 'Netherlands'}}",1952-08-17
1952,8,https://en.wikipedia.org/wiki/1952_Italian_Grand_Prix,Italian Grand Prix,"{'circuitId': 'monza', 'url': 'https://en.wikipedia.org/wiki/Monza_Circuit', 'circuitName': 'Autodromo Nazionale di Monza', 'Location': {'lat': '45.615599999999986', 'long': '9.28111', 'locality': 'Monza', 'country': 'Italy'}}",1952-09-07
1953,1,https://en.wikipedia.org/wiki/1953_Argentine_Grand_Prix,Argentine Grand Prix,"{'circuitId': 'galvez', 'url': 'https://en.wikipedia.org/wiki/Autódromo_Oscar_y_Juan_Gálvez', 'circuitName': 'Autódromo Juan y Oscar Gálvez', 'Location': {'lat': '-34.69430000000001', 'long': '-58.45929999999999', 'locality': 'Buenos Aires', 'country': 'Argentina'}}",1953-01-18
1953,2,https://en.wikipedia.org/wiki/1953_Indianapolis_500,Indianapolis 500,"{'circuitId': 'indianapolis', 'url': 'https://en.wikipedia.org/wiki/Indianapolis_Motor_Speedway', 'circuitName': 'Indianapolis Motor Speedway', 'Location': {'lat': '39.795', 'long': '-86.2347', 'locality': 'Indianapolis', 'country': 'USA'}}",1953-05-30
1953,3,https://en.wikipedia.org/wiki/1953_Dutch_Grand_Prix,Dutch Grand Prix,"{'circuitId': 'zandvoort', 'url': 'https://en.wikipedia.org/wiki/Circuit_Zandvoort', 'circuitName': 'Circuit Park Zandvoort', 'Location': {'lat': '52.3888', 'long': '4.54092', 'locality': 'Zandvoort', 'country': 'Netherlands'}}",1953-06-07
1953,4,https://en.wikipedia.org/wiki/1953_Belgian_Grand_Prix,Belgian Grand Prix,"{'circuitId': 'spa', 'url': 'https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps', 'circuitName': 'Circuit de Spa-Francorchamps', 'Location': {'lat': '50.4372', 'long': '5.97139', 'locality': 'Spa', 'country': 'Belgium'}}",1953-06-21
1953,5,https://en.wikipedia.org/wiki/1953_French_Grand_Prix,French Grand Prix,"{'circuitId': 'reims', 'url': 'https://en.wikipedia.org/wiki/Reims-Gueux', 'circuitName': 'Reims-Gueux', 'Location': {'lat': '49.2542', 'long': '3.93083', 'locality': 'Reims', 'country': 'France'}}",1953-07-05
1953,6,https://en.wikipedia.org/wiki/1953_British_Grand_Prix,British Grand Prix,"{'circuitId': 'silverstone', 'url': 'https://en.wikipedia.org/wiki/Silverstone_Circuit', 'circuitName': 'Silverstone Circuit', 'Location': {'lat': '52.0786', 'long': '-1.01694', 'locality': 'Silverstone', 'country': 'UK'}}",1953-07-18
1953,7,https://en.wikipedia.org/wiki/1953_German_Grand_Prix,German Grand Prix,"{'circuitId': 'nurburgring', 'url': 'https://en.wikipedia.org/wiki/N%C3%BCrburgring', 'circuitName': 'Nürburgring', 'Location': {'lat': '50.3356', 'long': '6.9475', 'locality': 'Nürburg', 'country': 'Germany'}}",1953-08-02
